run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
1,40,0.2693810391838239,768,4.2143269522829894e-08,3,96,38.02377486005204
2,100,1.0553469844817034,1024,4.5288188406824377e-07,5,64,21.313626576041102
3,30,0.2476754726359614,768,1.3498077926454231e-08,3,128,30.566815239782912
4,10,0.09006727660828323,1024,3.285117398292504e-07,4,96,33.73833816703399
5,100,0.6979793330079989,1024,4.790458231224413e-08,3,64,39.17924153404463
6,10,0.6278696341649943,768,1.4208093646972166e-07,4,128,31.66467045697992
7,80,0.8724783914697007,1024,1.8295559054786647e-06,3,96,8.987160383107671
8,100,0.3558447363028124,1024,3.0333038592798084e-06,4,32,23.303678977313215
9,30,0.7617974431848931,1024,2.7134109746195328e-05,4,64,10.35940943308636
10,50,0.9158588871923201,768,1.397707323842311e-07,3,64,35.63236336580212
11,10,0.9406384284488527,768,4.582592433255127e-07,5,128,18.231128043704764
12,80,1.030679433716056,768,2.1409645134333097e-06,4,128,12.017872959802395
13,50,0.5313247366161704,1024,0.00019654934393208164,5,96,10.396296255554017
14,100,0.92536663552843,768,2.2132105276419158e-05,3,96,8.632719472815031
15,60,0.844426069386297,768,0.0002667528446039323,4,96,7.0142234858060615
16,100,0.24734160054876472,1024,2.742462106777618e-07,5,32,27.49185319460082
17,80,0.04532711216547517,768,1.0280555264907088e-06,3,64,23.951200653367355
18,50,0.025034431739053887,768,6.190843992048661e-05,5,128,10.594311288139032
19,10,0.29217983895999333,1024,4.1404599055397294e-05,5,64,13.27225752361798
20,30,0.8907170310448046,768,2.7254284217710174e-07,5,64,24.23477888529212
