run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
1,40,0.2693810391838239,64,4.2143269522829894e-08,1,16,17.98694304301757
2,100,0.40686488925525127,512,1.3396594944848573e-05,2,96,28.449125442159897
3,100,0.009686188475773594,256,5.029463139747536e-08,1,128,66.93037206871224
4,10,0.09006727660828323,768,3.285117398292504e-07,4,16,23.70444488830328
5,100,0.6455923955572048,768,9.415324945232764e-05,1,128,44.95710958370192
6,10,0.4990379499485317,64,3.4494962506701253e-07,4,128,118.39858643957892
7,80,0.7827015264948269,512,2.2553302738616177e-07,2,128,30.299869011183258
8,100,0.3558447363028124,512,3.0333038592798084e-06,4,32,34.9217049100956
9,30,0.7617974431848931,512,2.7134109746195328e-05,3,64,56.25205002980277
10,60,0.6031187121916911,1024,1.1903847334323405e-06,3,96,24.44059405557888
11,10,0.9406384284488527,64,4.582592433255127e-07,5,96,36.81992184525912
12,80,0.7825452352387116,256,0.00015666749831991575,4,128,23.407227372057996
13,50,0.5313247366161704,768,0.00019654934393208164,5,16,19.008664589672534
14,100,0.92536663552843,256,2.2132105276419158e-05,2,16,21.399424550731496
15,60,0.7184128468901473,1024,2.2296935115724202e-07,1,96,18.801815125113034
16,100,0.021241892481905136,512,2.0035725169563654e-06,5,128,108.3243495402768
17,80,0.04532711216547517,256,1.0280555264907088e-06,2,64,33.46013285476224
18,50,0.1497869084150243,64,2.2017641318457201e-07,4,32,32.26426171022197
19,10,0.29217983895999333,512,4.1404599055397294e-05,5,64,60.36733832081758
20,30,0.8907170310448046,256,2.7254284217710174e-07,5,64,32.68219027067807
21,80,0.9816981808187609,256,2.4398229041897965e-07,1,64,14.830262405278756
22,30,0.5327369825974224,768,2.4531004442841796e-08,3,16,67.83806062950174
23,30,0.589773343593079,64,1.1889255217833411e-05,5,96,34.29625158892517
24,30,0.9291835750784143,512,9.701003902080046e-07,3,128,148.97331927309418
25,100,0.865649109261143,512,2.072326058431172e-07,4,64,98.44426399157891
26,100,0.4568225077803043,64,0.00016995147736617868,4,96,42.37167889735207
27,40,0.6673770236801393,768,1.2290796269253387e-07,5,32,19.192118025542342
28,40,0.07334325064447696,64,3.490552830383769e-07,1,64,27.529872781987688
29,100,0.14999458159791731,512,0.0002851067508515178,4,96,34.056112153540646
30,60,0.2194375162084078,256,1.7582011095930053e-08,3,32,54.65947593446886
31,100,0.7688124351082125,1024,5.954882169265251e-06,2,16,22.82447713582059
32,10,0.6205625981200455,64,1.15819619230269e-06,5,96,19.54260099535663
33,50,0.48583088503672744,256,1.108606029099996e-06,3,32,18.440698568807942
34,30,0.04579789043723303,1024,2.733759544421017e-05,4,96,63.222279208006725
35,10,0.9994772160550323,768,1.722817888776036e-08,4,64,117.49401645011156
36,60,0.26454286659094084,512,4.8159543978154775e-05,3,64,62.06965226217132
37,60,1.0168337459213,256,1.8628951549663884e-05,1,16,24.16567193574781
38,50,0.17922941569240008,768,1.2615187459411716e-07,3,128,59.602349067095545
39,10,0.4059865355614764,768,2.4286927426620895e-06,5,96,29.46609568168475
40,80,0.5846843803125841,768,1.3937958731057233e-06,3,128,165.08898155567346
41,50,1.0657338202522868,768,4.3188231392490476e-05,5,16,22.749414555938593
42,30,0.4162642407256319,768,1.6599736717232373e-08,1,64,37.03185991839834
43,40,0.004830677612688039,512,0.0002804120916698286,1,96,43.30314502671689
44,50,0.9956956799334633,1024,7.243539083543402e-08,1,16,53.28382821486683
