run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
1,150,0.24553181196370505,64,1.9827635497247824e-05,3,64,15.284970986625826
2,150,0.40686488925525127,512,1.3396594944848573e-05,2,256,12.143414638346028
3,150,0.009686188475773594,256,5.029463139747536e-08,1,512,9.819803100779456
4,100,0.09006727660828323,768,3.285117398292504e-07,4,128,21.074714782763408
5,150,0.6455923955572048,768,9.415324945232764e-05,1,512,11.72287819718656
6,100,0.4990379499485317,64,3.4494962506701253e-07,4,512,20.547289147577956
7,10,0.7827015264948269,512,2.2553302738616177e-07,2,512,15.02656556030699
8,150,0.3558447363028124,512,3.0333038592798084e-06,4,96,14.774480047614297
9,50,0.7617974431848931,512,2.7134109746195328e-05,3,64,9.98918525855334
10,10,1.06465468116092,512,1.883165388584541e-05,4,512,7.627348147279781
11,100,0.9406384284488527,64,4.582592433255127e-07,5,256,8.583940194317147
12,10,0.7825452352387116,256,0.00015666749831991575,4,512,10.624396691761799
13,20,0.5313247366161704,768,0.00019654934393208164,5,128,11.911008173352425
14,150,0.92536663552843,256,2.2132105276419158e-05,2,128,8.78335224846108
15,10,0.33125519785602436,64,2.690619733537381e-06,4,512,14.625830299883333
16,150,0.021241892481905136,512,2.0035725169563654e-06,5,512,20.014195913319057
17,10,0.04532711216547517,256,1.0280555264907088e-06,2,64,22.697223474990466
18,20,0.1497869084150243,64,2.2017641318457201e-07,4,96,20.801888893343765
19,100,0.29217983895999333,512,4.1404599055397294e-05,5,64,12.681398997266008
20,50,0.8907170310448046,256,2.7254284217710174e-07,5,64,13.243988908311998
