run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
1,10,0.027511830744933633,512,1.2485631808245866e-07,2,32,38.60174981958438
2,10,0.31469259832685254,256,0.000197414277792436,3,32,17.017086774919594
3,200,0.5720225378585547,64,6.179502476283136e-08,2,96,26.573948413783803
4,100,0.45946030867718923,512,2.3258609332979383e-08,3,32,80.44212475807119
5,10,0.4399938355681143,1024,4.242601240160544e-06,2,64,30.97647649671621
6,100,0.06877769658867171,1024,1.0743343605095665e-06,3,96,21.061191439894145
7,400,0.34699897352666115,1024,1.5334919172766274e-05,3,64,22.03411861400295
8,10,0.37876287813907183,64,2.807548724325446e-07,5,32,24.30015321734326
9,200,0.9412649221181206,512,7.141131967858004e-06,2,128,16.62753245727757
10,50,0.9223393831583104,1024,5.309014202681245e-08,2,96,47.895427800150955
11,100,0.05997492051150313,1024,1.4665865418990144e-06,3,128,41.14642867895961
12,400,0.938526608639601,256,1.1059834653997847e-06,4,96,16.240946885789366
13,50,0.48283144318816923,512,1.4539525945515681e-06,4,128,23.24844221085018
14,10,1.0866715226001809,256,4.692870704892636e-08,3,32,25.240975044906023
15,400,0.012646013655059575,1024,2.2296935115724202e-07,5,128,24.089008350152206
16,10,0.4045274350691966,1024,1.2202725555921408e-08,5,96,28.137179861489635
17,400,0.2168726394049554,256,1.5292776553502624e-08,4,128,7.7482982559958575
18,50,0.09307023753154511,768,1.2644244838358596e-08,3,32,70.42867269382894
19,100,0.31176294338519617,256,1.545980999436699e-07,4,128,7.95911221399064
20,200,0.19987570727140377,256,4.220039358732709e-05,3,96,27.14132590199428
